1897-05-14,"Oldest continuously operating movie theater in the world, the State Theatre first opens in Washington, Iowa (Guinness World Records)",film/theater
1938-05-14,"The Adventures of Robin Hood, directed by Michael Curtiz and William Keighley, and starring Errol Flynn and Olivia de Havilland premieres",film/adventure
1927-05-15,"Hollywood landmark the Roosevelt Hotel opens in Los Angeles by Douglas Fairbanks, Mary Pickford, and Sid Grauman, site of the first Academy Awards ceremony in 1929",film/awards
1928-05-15,Mickey Mouse makes his first appearance in the silent film Plane Crazy,film/silent
1929-05-16,"1st Academy Awards: Wings, Emil Jannings, and Janet Gaynor win",film/awards
1957-05-16,0th Cannes Film Festival: Friendly Persuasion directed by William Wyler wins the Palme d'Or,film/festival
